Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Item_Fat_Content,Item_Type,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
10.84227399663569,0.12792181694759183,165.13066719768682,1987,reg,Fruits and Vegetables,Medium,Tier 3,Supermarket Type3,3388.9635793361845
20.522000347686593,0.1612250815799421,245.83427967137507,1985,reg,Baking Goods,High,Tier 3,Supermarket Type1,5029.266206607137
16.847498222431607,0.00675129822860594,154.6529603746422,1987,Low Fat,Baking Goods,nan,Tier 1,Grocery Store,2078.7607087083893
14.607462534510216,0.1332339015526219,63.20973355393219,2007,low fat,Snack Foods,Small,Tier 3,Supermarket Type1,1442.1302445490996
7.171113159432934,0.23440686551856008,165.5970159233182,1999,low fat,Soft Drinks,Medium,Tier 3,Supermarket Type1,3669.6337237455086
7.170707941648205,0.20401381691228096,52.4619964258531,2004,Regular,Soft Drinks,Medium,Tier 1,Supermarket Type1,2318.7955416456753
5.525804684425751,0.1905470966591805,78.89155129548159,2004,LF,Soft Drinks,High,Tier 1,Supermarket Type2,1954.764812394051
19.10175924901891,0.2728666285311607,38.31051728404279,1987,Regular,Snack Foods,High,Tier 2,Supermarket Type1,1161.4398026899316
14.64873219728591,0.005409602947569003,151.62399187798212,1998,Regular,Soft Drinks,nan,Tier 1,Supermarket Type3,3183.7126715354516
16.445619306973565,0.16711427585767025,50.865164593989505,1987,Regular,Household,Medium,Tier 3,Grocery Store,253.33240899982255
4.895819504169481,0.23620465452291212,141.30767895486233,2004,Low Fat,Others,Small,Tier 2,Supermarket Type1,3129.052496400366
20.844485516321505,0.16240061481038018,250.24208330117386,1999,reg,Household,Small,Tier 3,Supermarket Type3,5067.794598565455
18.535036365447084,0.09716866577411375,200.14393205954303,1985,reg,Meat,Medium,Tier 2,Supermarket Type2,3793.95897391553
8.117297059395039,0.040875169527593354,49.19174344294387,1987,LF,Snack Foods,Medium,Tier 3,Supermarket Type1,1897.175866790238
7.604659449079291,0.2662689215448574,83.68930586907814,2002,low fat,Meat,nan,Tier 2,Supermarket Type1,2486.5381393178936
7.631195765537688,0.1412287177162809,189.31066867495704,1998,Regular,Snack Foods,Small,Tier 2,Supermarket Type2,3870.3922090187607
9.661269681720235,0.2634345590957104,241.25493734068317,2004,Low Fat,Meat,Small,Tier 3,Supermarket Type3,4431.612944583065
13.365908051421595,0.17575563672995048,38.73586788952913,1987,Low Fat,Fruits and Vegetables,High,Tier 2,Supermarket Type3,1234.0207397292124
11.806676313187545,0.20225763498450022,221.9260159543396,1987,Regular,Soft Drinks,High,Tier 3,Supermarket Type3,3868.0982140685933
9.442649555327105,0.241278346313535,163.02626187950256,2002,Low Fat,Household,Small,Tier 3,Supermarket Type3,3004.4223366901642
14.829128631335976,0.1977466633800403,159.33146144465226,2007,Low Fat,Household,Medium,Tier 2,Grocery Store,1407.0969536773887
6.893496858954302,0.1194164522036813,256.0860979470391,1985,Regular,Soft Drinks,Medium,Tier 1,Supermarket Type3,5298.678692424779
9.458030095391665,0.1540900151785953,206.69648396024166,1999,LF,Meat,High,Tier 1,Supermarket Type2,4046.088482316356
10.704878967334022,0.24091365740276394,230.7779339931863,1985,Low Fat,Baking Goods,Medium,Tier 1,Supermarket Type3,5074.466338735326
12.211975734846204,0.11209508891189525,114.18895884299668,2002,reg,Snack Foods,nan,Tier 3,Supermarket Type1,2823.376572106069
17.740956151402628,0.11643643703054912,161.2755495946763,2004,reg,Fruits and Vegetables,Medium,Tier 3,Supermarket Type1,2958.2005252351805
7.904519540260443,0.028707034817400345,175.6203341955261,2002,reg,Household,Medium,Tier 1,Supermarket Type1,3574.8734093709063
13.189138565348674,0.2743753305665243,106.57222598517929,2009,Regular,Dairy,Medium,Tier 3,Supermarket Type1,2786.367463358372
14.502564756882315,0.027310894483632518,165.0083093626389,1997,reg,Fruits and Vegetables,High,Tier 1,Grocery Store,2068.41838129529
5.330366933695961,0.19446275323456677,86.61401417773274,2007,low fat,Fruits and Vegetables,Medium,Tier 3,Supermarket Type1,2168.2388833263144
14.756753511944165,0.1239583436408393,64.6932827010363,1997,Low Fat,Meat,Small,Tier 3,Supermarket Type1,2236.9562839595073
7.414805277946497,0.1216858170766327,118.88301093017317,2004,LF,Soft Drinks,High,Tier 3,Supermarket Type2,2467.3514254166707
5.642866762152696,0.20386555097180517,204.7330627554127,1999,reg,Snack Foods,Medium,Tier 1,Grocery Store,2622.4312871408792
20.491277025856,0.020128119788963617,246.30397979736358,1985,Regular,Snack Foods,Medium,Tier 2,Supermarket Type3,4931.191967274412
20.772618155652598,0.1781117348854304,138.56280210208465,1998,LF,Dairy,nan,Tier 3,Supermarket Type2,2965.7224823137244
18.131075448356547,0.23160953579170643,182.06356674472644,2009,Regular,Meat,Medium,Tier 3,Supermarket Type1,3878.8318397394755
9.667511322112627,0.24846382736597825,55.21372577914861,2007,LF,Soft Drinks,High,Tier 1,Supermarket Type1,1789.0829860682343
6.190891515307249,0.05115911681813259,243.54898325979727,1997,LF,Snack Foods,Medium,Tier 1,Supermarket Type1,4711.976001782898
16.045114845404235,0.2692257150234521,164.62199018893457,1987,Low Fat,Dairy,High,Tier 3,Grocery Store,2093.4455155041287
11.944561894825302,0.19684382755423266,214.3794881919119,2009,LF,Baking Goods,Small,Tier 3,Supermarket Type1,4126.10219785564
6.600242345392284,0.26455644024620484,217.69368221652755,1985,low fat,Baking Goods,Medium,Tier 2,Supermarket Type2,4681.1054284864895
12.868972089869338,0.14558421513305947,91.27292369650489,2009,low fat,Household,High,Tier 3,Supermarket Type2,2445.3136860826075
5.127727154735669,0.1626100035291606,155.35599649773462,2004,low fat,Dairy,Small,Tier 3,Grocery Store,1995.4634605997
19.82658275492354,0.27571148310860133,256.7127416168297,1987,Regular,Meat,High,Tier 3,Supermarket Type1,5190.562898193662
8.897503690880285,0.2699728630064015,52.06411803289453,1999,Low Fat,Dairy,Medium,Tier 2,Supermarket Type1,1957.5046231131282
15.680374377146897,0.1344482620107006,191.5167260369474,1987,Regular,Others,High,Tier 3,Supermarket Type1,3586.9959893813884
9.786746078302105,0.08232378949070453,257.13205833826544,1999,reg,Dairy,Medium,Tier 2,Grocery Store,3573.259656842798
13.287142755787222,0.11795113036927923,101.6356203926952,2004,low fat,Others,High,Tier 1,Grocery Store,1100.3264944062282
13.7347326929671,0.11632929855892492,233.44026153002181,1999,Low Fat,Dairy,Small,Tier 3,Supermarket Type1,4290.624529272565
7.655554852828854,0.08606006249483818,250.40952317094383,1987,low fat,Others,Medium,Tier 3,Supermarket Type2,5098.274979203505
20.839021746444587,0.08057388129988997,206.5652592077839,1999,Low Fat,Others,Small,Tier 3,Grocery Store,2289.600442084661
17.572231432466726,0.2583188809439158,85.36215339213518,2002,Regular,Household,Medium,Tier 3,Grocery Store,614.6879437379814
20.333582218278377,0.020958576205398503,109.49016892424956,1999,Regular,Baking Goods,High,Tier 2,Supermarket Type2,2516.240164728403
19.5830994871845,0.20328335462987823,39.41518418816672,1987,low fat,Baking Goods,Small,Tier 1,Supermarket Type2,1208.517540159804
14.594719644026231,0.051846015436935684,226.39151004765847,2002,LF,Others,Medium,Tier 1,Supermarket Type1,4390.428646135631
20.03748714838836,0.10335176801821896,230.6586288301038,2002,Low Fat,Soft Drinks,Small,Tier 2,Supermarket Type1,4260.808780399767
6.036674034472247,0.018462910240451057,179.68692284205528,1987,reg,Dairy,nan,Tier 2,Supermarket Type1,3763.2208536944145
7.842512088641639,0.08099209105663861,113.84404504700507,1998,LF,Others,Small,Tier 2,Supermarket Type1,3225.6272160716026
5.309818453697039,0.23052632133517262,49.050591495381326,2004,Regular,Snack Foods,Medium,Tier 2,Supermarket Type3,1723.9776731270751
10.01554955682284,0.2655045973641776,207.96853833000372,1985,Low Fat,Fruits and Vegetables,High,Tier 3,Grocery Store,2764.1200030185696
11.079778466783297,0.06645814557071011,201.73365549833187,1985,LF,Snack Foods,nan,Tier 3,Supermarket Type2,4020.193380162743
9.108663733801452,0.13906435177767654,245.46159260864172,2002,reg,Meat,nan,Tier 2,Supermarket Type3,4587.242318879339
18.472790153752413,0.1410972143811619,202.67502493626012,2004,LF,Fruits and Vegetables,nan,Tier 3,Supermarket Type3,4259.281121981793
10.5434558884523,0.26207259172792025,225.74331142734044,1999,reg,Snack Foods,Small,Tier 3,Supermarket Type3,4104.495000517762
9.269699762747997,0.2288397158627416,206.2993352074399,2007,Regular,Soft Drinks,Medium,Tier 1,Supermarket Type1,4393.554910135276
13.667294197058574,0.15392316551041496,179.21148925339435,1998,Low Fat,Meat,Small,Tier 3,Supermarket Type2,3456.0164015439723
6.917526979576012,0.20122416014153202,131.33710263488717,1997,Regular,Soft Drinks,nan,Tier 1,Supermarket Type1,3374.5406685430603
18.026909276667865,0.25420651617281004,242.99756753093527,2004,Low Fat,Others,nan,Tier 3,Supermarket Type2,4534.745042913188
5.802450813820149,0.0028616862076634828,183.9776143982554,1998,LF,Snack Foods,nan,Tier 1,Supermarket Type1,3512.2065037152965
21.12970053488869,0.12086700931501458,124.61350066198862,1985,Regular,Meat,Small,Tier 1,Supermarket Type2,2899.7444604063608
17.523712124183845,0.2721729501831236,50.61528436775995,2007,Low Fat,Baking Goods,nan,Tier 1,Supermarket Type1,1287.3968916092222
7.888423449774097,0.22209390925318542,99.3156411375298,1999,reg,Baking Goods,High,Tier 1,Grocery Store,667.5513296068984
4.64277156767652,0.16285241230022238,158.7757826850887,2007,Low Fat,Fruits and Vegetables,Medium,Tier 2,Supermarket Type1,3523.860620560916
18.249751998041216,0.15889335811054003,95.77431195380572,2007,Regular,Fruits and Vegetables,nan,Tier 3,Supermarket Type2,2789.766093936194
16.425203376639967,0.10433102928133133,82.990306760707,1999,Regular,Snack Foods,Medium,Tier 2,Supermarket Type3,2068.547059779176
16.797320423088586,0.15615616009245434,154.9374758106441,2007,LF,Household,Small,Tier 3,Supermarket Type1,3706.6023199462898
17.507341824323888,0.19661495983903596,70.90778128549763,2004,reg,Snack Foods,nan,Tier 2,Grocery Store,439.71804672177893
5.793950149132717,0.1255089115286379,219.09636488139932,1997,Low Fat,Snack Foods,High,Tier 3,Grocery Store,2841.088100408905
10.572224239543779,0.2142459439176522,144.82651556552463,1998,Regular,Others,nan,Tier 2,Supermarket Type1,3229.5911266279813
6.496600200022179,0.25836966817811574,165.85775188122278,2004,Low Fat,Others,High,Tier 2,Supermarket Type3,3947.0901941483353
19.05013755470997,0.04640545445545835,65.63506788537691,1998,low fat,Snack Foods,High,Tier 1,Supermarket Type2,2249.8270815947712
15.021408530702974,0.13546410684522733,107.27543887290133,2002,reg,Soft Drinks,Medium,Tier 2,Supermarket Type2,2548.144281061173
10.109086817524506,0.12240602738552432,127.37107556637093,1987,reg,Fruits and Vegetables,Medium,Tier 1,Supermarket Type2,3641.165375224117
5.617780284805197,0.2062394412149184,220.9300151713782,1987,low fat,Meat,Small,Tier 1,Supermarket Type3,4296.950272463181
9.774503004823124,0.07496023957737881,211.98748792524586,1997,reg,Dairy,High,Tier 2,Supermarket Type2,4184.4092732846
10.013079810049351,0.19207527448568287,83.39970657510511,2004,low fat,Snack Foods,High,Tier 3,Supermarket Type3,2350.7336713803147
16.807383796079478,0.2632467725194464,175.8020841776468,1997,Low Fat,Dairy,Medium,Tier 2,Grocery Store,2010.8144070204714
15.26096551876758,0.1254394799380868,88.21224407641944,1997,low fat,Dairy,Small,Tier 1,Grocery Store,1238.420554214435
19.455174075282287,0.273304709993766,263.23808158720766,1998,LF,Household,Medium,Tier 1,Supermarket Type1,4919.890854994438
12.483210742720749,0.2979491216800435,254.7491113607546,2002,low fat,Snack Foods,Medium,Tier 2,Supermarket Type3,5015.477464006297
